Market,LoadFactor,FlightCount,Bookings,Revenue,AvgFare,RASM,RpS,Slope,Lat1,Lon1,Lat2,Lon2,Distance,cluster_Geo,cluster_Slope,cluster_Dist
BGYEDI,0.967738709,674,125777,8389473.6,66.7011,0.044181594,64.5493083,-0.005118722,55.94861,-3.350278,45.6739,9.7042,1461,3,4,2
BTSMLA,0.932197828,352,62502,3470618.691,55.5281,0.037266519,51.7631949,-0.00732877,48.16,17.21,35.83667,14.54722,1389,6,5,2
DUBSDR,0.887250254,308,52401,2723426.981,51.9728,0.040916491,46.11288488,-0.006814934,53.4325,-6.252222,43.42916,-3.826389,1127,20,2,3
CIYPSA,0.911574871,72,12711,459847.3147,36.1771,0.039973514,32.97814936,-0.017955885,43.6806,10.3928,36.99166,14.60694,825,6,3,8
PSARHO,0.850324235,70,11277,1044905.037,92.658,0.046102634,78.78940107,-0.005911578,43.6806,10.3928,36.38472,28.11833,1709,17,2,7
MADSOF,0.989074895,343,64459,5434312.71,84.3065,0.037093169,83.38544306,-0.007295203,42.7,23.4,40.47361,-3.561111,2248,15,2,5
PFORIX,0.958179317,244,44586,4184190.633,93.8453,0.035111563,89.92071333,-0.006909674,57.01667,24.05,34.71944,32.48472,2561,4,2,10
BLLTPS,0.80879843,124,18955,1389407.594,73.3003,0.029657421,59.28518491,-0.006088715,55.7403,9.1528,37.9117,12.4864,1999,7,2,9
CIYTSF,0.767800454,70,10158,322941.5569,31.7918,0.0248067,24.40979266,-0.01392164,45.6506,12.1956,36.99166,14.60694,984,6,3,8
BRIMXP,0.983577537,1628,305031,12902348.92,42.2984,0.050674591,41.60383884,-0.008045576,45.6317,8.7278,41.14111,16.78833,821,6,5,8
BGYZAZ,0.927629795,304,54745,2288249.7,41.7983,0.039890307,38.7733784,-0.007623761,45.6739,9.7042,41.66667,-1.038889,972,15,5,8
EDIKUN,0.926875676,242,42868,3082836.878,71.9146,0.038685974,66.65593251,-0.008433023,55.94861,-3.350278,54.9639,24.0847,1723,8,5,7
ACEFMM,0.772601794,46,6717,417061.9139,62.0905,0.016294577,47.97123463,-0.003971284,47.9886,10.2394,28.9425,-13.60472,2944,11,4,10
VIEVNO,0.998268357,344,62837,3277209.637,52.1541,0.055152359,52.06382672,-0.010127569,54.6333,25.2833,48.1111,16.5583,944,8,1,8
DUBSZG,0.896804421,88,14930,1691048.761,113.2651,0.068126554,101.5766916,-0.002875304,53.4325,-6.252222,47.79306,13.00556,1491,3,4,7
BLQDUB,0.95486016,289,52270,4456265.112,85.2547,0.050500218,81.40635194,-0.005193014,53.4325,-6.252222,44.5306,11.2925,1612,3,4,7
BTSLBA,0.966498638,167,30869,1467861.691,47.5513,0.031499853,45.95828584,-0.006280219,53.86528,-1.654722,48.16,17.21,1459,9,2,2
EGCOPO,0.653998062,142,17552,477560.1775,27.2083,0.021008476,17.79417906,-0.008039908,44.82528,0.5186111,41.23806,-8.674723,847,5,5,8
MAHWRO,0.866867044,36,4903,574.1894,0.1171,6.39e-05,0.101518635,-0.004888719,51.1,16.8833,39.86139,4.215278,1589,15,4,7
STNTFS,0.932658889,1618,291967,29234523.47,100.1295,0.031149671,93.38671217,-0.00464789,51.8828,0.2339,28.04278,-16.57055,2998,11,4,10
FMMSTN,0.94468001,535,95578,4826490.238,50.4979,0.057062651,47.70437596,-0.006863964,51.8828,0.2339,47.9886,10.2394,836,3,2,8
FMMSUF,0.905872363,162,27736,1456664.481,52.5189,0.042478061,47.57542886,-0.00550475,47.9886,10.2394,38.90917,16.23889,1120,6,2,3
MADMLA,0.973898173,674,125292,8686176.862,69.3274,0.040600056,67.51789244,-0.00682277,40.47361,-3.561111,35.83667,14.54722,1663,1,2,7
CFUFMO,0.91969537,70,12197,872965.43,71.5721,0.039157983,65.82456869,-0.003555081,52.13528,7.686111,39.60139,19.91028,1681,10,4,7
FAOMRS,0.916219168,346,60399,3645209.899,60.3521,0.041701209,55.2958026,-0.006576465,43.43555,5.216389,37.01445,-7.970833,1326,1,2,2
ALCMRS,0.955488486,468,85478,3545729.325,41.4811,0.052776034,39.63480131,-0.008745773,43.43555,5.216389,38.2825,-0.5583333,751,1,5,1
CRLHEL,0.977944208,230,42699,2674052.474,62.6256,0.03632526,61.24438811,-0.00994892,60.32555,24.97167,50.4617,4.455,1686,8,1,7
VARWRO,0.915810769,68,11770,1373.8666,0.1167,8.89e-05,0.106899051,-0.005295864,51.1,16.8833,43.2325,27.82556,1202,17,4,3
KSCPRG,0.965954369,420,76123,3511702.573,46.1319,0.084078039,44.56136046,-0.011795934,50.1,14.26667,48.66667,21.25,530,10,1,1
SKGWMI,0.950639943,320,58529,3953495.371,67.5476,0.047956294,64.21347731,-0.00663635,52.4511,20.6519,40.52083,22.97222,1339,17,2,2
LCJSTN,0.943901133,584,105783,5473961.744,51.747,0.037143826,48.84413085,-0.01067292,51.8828,0.2339,51.72194,19.39833,1315,9,1,2
BCNBUD,0.966905121,909,167467,13092197.75,78.1777,0.049730587,75.59049272,-0.008489245,47.4333,19.2333,41.3028,2.0944,1520,15,5,7
MLAPFO,0.919197852,124,21910,939424.4538,42.8765,0.02414951,39.41200091,-0.00643742,35.83667,14.54722,34.71944,32.48472,1632,4,2,7
SUFTSF,0.8339991,188,29647,877181.7592,29.5875,0.030092659,24.67598062,-0.016804161,45.6506,12.1956,38.90917,16.23889,820,6,3,8
AOINRN,0.897078608,108,18670,817711.9466,43.7981,0.037815598,39.29040681,-0.005844354,51.5993,6.1502,43.6175,13.36417,1039,7,2,3
BODTNG,0.95595728,216,39026,2171527.69,55.6431,0.048181547,53.19242824,-0.00898361,44.82944,-0.7144445,35.72833,-5.9175,1104,12,5,3
ACEMAD,0.918724347,1458,253827,15688519.2,61.8079,0.036053614,56.78444198,-0.008050035,40.47361,-3.561111,28.9425,-13.60472,1575,18,5,7
GOTWMI,0.835838011,170,27698,751728.3771,27.1401,0.027936926,22.68478415,-0.012785095,57.7056,11.7806,52.4511,20.6519,812,8,3,8
